Date, Bitcoin,Ethereum,Bitcoin Cash,Litecoin,XRP,Dash,Monero,Others
May 29 2013, 95.4, 0, 0, 3.69, 0, 0, 0, 0.91, 
May 30 2013, 95.54, 0, 0, 3.59, 0, 0, 0, 0.87, 
May 31 2013, 95.68, 0, 0, 3.53, 0, 0, 0, 0.79, 
June 1 2013, 95.81, 0, 0, 3.44, 0, 0, 0, 0.75, 
June 2 2013, 95.8, 0, 0, 3.42, 0, 0, 0, 0.78, 
June 3 2013, 95.77, 0, 0, 3.46, 0, 0, 0, 0.77, 
June 4 2013, 95.71, 0, 0, 3.51, 0, 0, 0, 0.79, 
June 5 2013, 95.55, 0, 0, 3.69, 0, 0, 0, 0.76, 
June 6 2013, 95.61, 0, 0, 3.65, 0, 0, 0, 0.74, 
June 7 2013, 95.61, 0, 0, 3.65, 0, 0, 0, 0.75, 
June 8 2013, 95.59, 0, 0, 3.67, 0, 0, 0, 0.74, 
June 9 2013, 95.54, 0, 0, 3.69, 0, 0, 0, 0.77, 
June 10 2013, 95.48, 0, 0, 3.71, 0, 0, 0, 0.81, 
June 11 2013, 95.55, 0, 0, 3.66, 0, 0, 0, 0.79, 
June 12 2013, 95.83, 0, 0, 3.41, 0, 0, 0, 0.76, 
June 13 2013, 95.78, 0, 0, 3.47, 0, 0, 0, 0.76, 
June 14 2013, 95.82, 0, 0, 3.44, 0, 0, 0, 0.74, 
June 15 2013, 95.88, 0, 0, 3.38, 0, 0, 0, 0.74, 
June 16 2013, 95.96, 0, 0, 3.31, 0, 0, 0, 0.73, 
June 17 2013, 96.02, 0, 0, 3.28, 0, 0, 0, 0.7, 
June 18 2013, 95.84, 0, 0, 3.46, 0, 0, 0, 0.7, 
June 19 2013, 95.95, 0, 0, 3.38, 0, 0, 0, 0.67, 
June 20 2013, 95.88, 0, 0, 3.37, 0, 0, 0, 0.75, 
June 21 2013, 95.92, 0, 0, 3.33, 0, 0, 0, 0.75, 
June 22 2013, 95.53, 0, 0, 3.76, 0, 0, 0, 0.71, 
June 23 2013, 94.54, 0, 0, 4.75, 0, 0, 0, 0.71, 
June 24 2013, 94.74, 0, 0, 4.53, 0, 0, 0, 0.73, 
June 25 2013, 94.99, 0, 0, 4.28, 0, 0, 0, 0.73, 
June 26 2013, 94.95, 0, 0, 4.3, 0, 0, 0, 0.76, 
June 27 2013, 94.98, 0, 0, 4.3, 0, 0, 0, 0.72, 
